series,custom name,total count
/products/boltai,Page views,144
/products/typingmind,Page views,41
/products/alter-ai-built-for-macos,Page views,37
/products/ai-scraper,Page views,35
/products/localcan-,Page views,34
/products/chatsy,Page views,32
/products/mindpal,Page views,30
/products/chromekit,Page views,29
/products/ghostfolio,Page views,29
/products/sip,Page views,29
/products/pdf-pals,Page views,26
/products/shipixen,Page views,26
/products/audio-writer,Page views,25
/products/kerlig-,Page views,24
/products/focu,Page views,23
/products/devutils,Page views,22
/products/anotherwrapper-ai-demo-apps,Page views,21
/products/bannerify,Page views,20
/products/boringlaunch,Page views,20
/products/resmume,Page views,19
$$_posthog_breakdown_other_$$,Page views,1279
