series,custom name,total count
/products/boltai,Page views,212
/products/ai-scraper,Page views,146
/products/screen-studio,Page views,122
/products/devutils,Page views,107
/products/typingmind,Page views,101
/products/tableplus,Page views,96
/products/sip,Page views,93
/products/localcan-,Page views,76
/products/xnapper,Page views,69
/products/kerlig-,Page views,62
/products/braindump,Page views,58
/products/chatsy,Page views,58
/products/donkeycarrot,Page views,51
/products/things3,Page views,49
/products/1price,Page views,44
/products/pdf-pals,Page views,44
/products/alter-ai-built-for-macos,Page views,41
/products/typefully,Page views,40
/products/audio-writer,Page views,39
/products/mindpal,Page views,38
$$_posthog_breakdown_other_$$,Page views,2448
